#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
0040_tilt_010_pan_040_f70.jpg,0.334857,-0.399067,3.829423,-39.999999,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0041_tilt_010_pan_050_f70.jpg,0.399067,-0.334857,3.829423,-50.0,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0042_tilt_010_pan_060_f70.jpg,0.451151,-0.260472,3.829423,-60.000002,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0043_tilt_010_pan_070_f70.jpg,0.489528,-0.178174,3.829423,-70.0,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0044_tilt_010_pan_080_f70.jpg,0.51303,-0.090461,3.829423,-79.999998,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0045_tilt_010_pan_090_f70.jpg,0.520945,-0.0,3.829423,-90.000003,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0046_tilt_010_pan_100_f70.jpg,0.51303,0.090461,3.829423,-100.000001,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0047_tilt_010_pan_110_f70.jpg,0.489528,0.178174,3.829423,-109.999999,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0048_tilt_010_pan_120_f70.jpg,0.451151,0.260472,3.829423,-120.000003,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0049_tilt_010_pan_130_f70.jpg,0.399067,0.334857,3.829423,-130.000001,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0050_tilt_010_pan_140_f70.jpg,0.334857,0.399067,3.829423,-139.999999,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0051_tilt_010_pan_150_f70.jpg,0.260472,0.451151,3.829423,-149.999997,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0052_tilt_010_pan_160_f70.jpg,0.178174,0.489528,3.829423,-159.999995,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0053_tilt_010_pan_170_f70.jpg,0.090461,0.51303,3.829423,-169.999993,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0054_tilt_010_pan_180_f70.jpg,0.0,0.520945,3.829423,-180.000005,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0055_tilt_010_pan_190_f70.jpg,-0.090461,0.51303,3.829423,-190.000003,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0056_tilt_010_pan_200_f70.jpg,-0.178174,0.489528,3.829423,-200.000001,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0057_tilt_010_pan_210_f70.jpg,-0.260472,0.451151,3.829423,-209.999999,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0058_tilt_010_pan_220_f70.jpg,-0.334857,0.399067,3.829423,-219.999997,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0059_tilt_010_pan_230_f70.jpg,-0.399067,0.334857,3.829423,-230.000009,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0060_tilt_010_pan_240_f70.jpg,-0.451151,0.260472,3.829423,-240.000007,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0061_tilt_010_pan_250_f70.jpg,-0.489528,0.178174,3.829423,-250.000005,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0062_tilt_010_pan_260_f70.jpg,-0.51303,0.090461,3.829423,-260.000003,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0063_tilt_010_pan_270_f70.jpg,-0.520945,0.0,3.829423,-270.000001,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0064_tilt_010_pan_280_f70.jpg,-0.51303,-0.090461,3.829423,-279.999999,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0065_tilt_010_pan_290_f70.jpg,-0.489528,-0.178174,3.829423,-289.999997,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0066_tilt_010_pan_300_f70.jpg,-0.451151,-0.260472,3.829423,-299.999995,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0067_tilt_010_pan_310_f70.jpg,-0.399067,-0.334857,3.829423,-309.999993,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0068_tilt_010_pan_320_f70.jpg,-0.334857,-0.399067,3.829423,-319.999991,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0069_tilt_010_pan_330_f70.jpg,-0.260472,-0.451151,3.829423,-329.999989,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0070_tilt_010_pan_340_f70.jpg,-0.178174,-0.489528,3.829423,-339.999987,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0071_tilt_010_pan_350_f70.jpg,-0.090461,-0.51303,3.829423,-350.000012,10.0,0.0,70.0,0,0,0,0,0,0,0,0
0072_tilt_020_pan_000_f70.jpg,0.0,-1.02606,3.694078,-0.0,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
0073_tilt_020_pan_010_f70.jpg,0.178174,-1.010472,3.694078,-10.0,19.999999,0.0,70.0,0,0,0,0,0,0,0,0
